Store,Dept,Date,Weekly_Sales,Type,Size,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday,Year,Month,Week,max,min,mean,median,std,Total_MarkDown
1,1,5/2/2019,24924.5,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,57592.12,14537.37,22513.32294,18535.48,9854.349032,0
1,11,5/2/2019,24213.18,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,44553.45,16107.93,24919.27063,23607.73,6135.183123,0
1,20,5/2/2019,5034.1,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,7272.2,2464.49,4091.571538,3985.35,921.3118931,0
1,4,5/2/2019,39954.04,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,47893.23,32497.43,36964.15448,36579.96,2930.698313,0
1,8,5/2/2019,40129.01,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,42663.75,31061.21,35718.25762,35356.12,2490.769188,0
1,10,5/2/2019,30721.5,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,43718.05,23058.41,31033.38636,30888.69,3509.190495,0
1,21,5/2/2019,8907.63,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,13551.98,5898.29,7808.450559,7662.31,1067.245018,0
1,18,5/2/2019,4729.5,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,53845.12,-1.27,7765.304425,2303.36,11435.69263,0
1,2,5/2/2019,50605.27,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,65615.36,35819.83,46102.09042,45561.85,3440.673222,0
1,3,5/2/2019,13740.12,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,51159.17,6165.73,13150.47804,10366.85,8708.978853,0
1,12,5/2/2019,8449.54,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,15560.17,6605.12,10566.54531,10724.56,1743.067882,0
1,16,5/2/2019,10217.55,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,59543.22,4594.95,24151.06133,21143.58,15457.0226,0
1,17,5/2/2019,13223.76,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,19842,5913.51,9196.557902,8712.44,2025.029196,0
1,5,5/2/2019,32229.38,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,85676.09,11570.27,24257.94112,21183.42,11330.2865,0
1,19,5/2/2019,1947.05,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,2600.99,489.9,1259.018531,1229.72,394.0272661,0
1,6,5/2/2019,5749.03,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,28497.52,-139.65,4801.78014,4132.61,3317.432691,0
1,14,5/2/2019,19466.91,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,47983.72,9918.05,15268.55091,13579.21,5667.135875,0
1,9,5/2/2019,16930.99,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,50675.72,11355.87,28062.05224,27333.83,8422.254593,0
1,7,5/2/2019,21084.08,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,166697.72,9194.61,24566.48741,20212.71,18808.95846,0
1,13,5/2/2019,41969.29,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,44863.15,32782.17,38692.88049,38347.52,2509.848052,0
1,54,5/2/2019,439,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,616,-50,90.92105263,53.16,99.55917105,0
1,52,5/2/2019,3508.04,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,4205.67,1218.46,2355.439371,2231.45,678.9606435,0
1,49,5/2/2019,11501.46,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,17190.6,7291.66,11437.93126,11313.7,2007.971573,0
1,48,5/2/2019,814,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,6445,-223,917.72792,641,890.8856952,0
1,47,5/2/2019,70,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,224,-863,-116.4545455,0,291.3949582,0
1,51,5/2/2019,1.16,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,185.8,0.75,32.71272727,22.24,35.68451803,0
1,85,5/2/2019,3825.78,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,9020.76,2360.35,3685.875524,3422.49,1123.845618,0
1,91,5/2/2019,62424.14,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,76603.53,48263.59,64238.94343,64022.49,6063.276662,0
1,87,5/2/2019,35972.49,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,68503.09,18911.79,46006.2772,46467.94,9269.715751,0
1,80,5/2/2019,15694.17,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,22615.85,7320.66,17139.31462,16973.96,2414.333401,0
1,83,5/2/2019,5711.19,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,9660.09,2847.62,5704.048951,5551.16,1172.912138,0
1,81,5/2/2019,30052.75,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,36081.52,24041.67,29780.69657,29979.34,1849.372057,0
1,98,5/2/2019,10891.37,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,20732.04,8283.28,11827.77077,11424.42,2081.131442,0
1,97,5/2/2019,32153.04,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,43995.15,28457.31,35207.34881,35362.9,3388.496723,0
1,94,5/2/2019,56655.39,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,86052.03,45989.26,63180.56818,62767.87,6605.06502,0
1,93,5/2/2019,64494.87,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,97979.96,55082.4,71699.18238,72089.33,9300.200076,0
1,82,5/2/2019,19484.03,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,63787.12,15881.65,20727.86091,19854.55,5896.743538,0
1,59,5/2/2019,1409.34,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,18016.74,107.13,857.7751049,354,1880.958217,0
1,28,5/2/2019,1085.29,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,1151.63,258.1,593.113986,557.94,212.4368808,0
1,60,5/2/2019,1416.8,A,151315,42.31,2.572,211.0963582,8.106,0,2019,2,5,2226.4,589.6,1020.995804,985.6,238.6568548,0
